Response (V)	Retention time (min)
-7.8e-05	0.0
-8.6e-05	0.0016809233872473945
-8.3e-05	0.003361846774494789
-8.4e-05	0.005042770161742183
-8.7e-05	0.006723693548989578
-8.5e-05	0.008404616936236972
-9e-05	0.010085540323484367
-8.5e-05	0.011766463710731761
-8.2e-05	0.013447387097979156
-8.2e-05	0.01512831048522655
-8.3e-05	0.016809233872473944
-8.5e-05	0.01849015725972134
-8.4e-05	0.020171080646968733
-8.3e-05	0.021852004034216128
-8.6e-05	0.023532927421463522
-8.5e-05	0.025213850808710917
-8.3e-05	0.026894774195958312
-8.5e-05	0.028575697583205707
-8.6e-05	0.0302566209704531
-8.4e-05	0.03193754435770049
-8.6e-05	0.03361846774494789
-9e-05	0.03529939113219528
-9.1e-05	0.03698031451944268
-9.3e-05	0.03866123790669007
-9.4e-05	0.040342161293937466
-9.6e-05	0.04202308468118486
-9.8e-05	0.043704008068432255
-9.7e-05	0.04538493145567965
-9.3e-05	0.047065854842927045
-9.7e-05	0.04874677823017444
-1e-04	0.050427701617421834
-9.7e-05	0.05210862500466923
-9.8e-05	0.053789548391916624
-9.4e-05	0.05547047177916402
-9.8e-05	0.05715139516641141
-9.8e-05	0.05883231855365881
-9.1e-05	0.0605132419409062
-9.2e-05	0.0621941653281536
-9.8e-05	0.06387508871540098
-9.5e-05	0.06555601210264839
-9.7e-05	0.06723693548989577
-0.000102	0.06891785887714318
-9.9e-05	0.07059878226439056
-9.6e-05	0.07227970565163797
-1e-04	0.07396062903888535
-0.000103	0.07564155242613275
-0.000103	0.07732247581338014
-0.000104	0.07900339920062754
-0.000104	0.08068432258787493
-0.000109	0.08236524597512233
-0.000108	0.08404616936236972
-0.000106	0.08572709274961712
-0.000107	0.08740801613686451
-0.000111	0.08908893952411191
-0.000108	0.0907698629113593
-0.000106	0.0924507862986067
-0.000107	0.09413170968585409
-0.000111	0.09581263307310149
-0.00011	0.09749355646034888
-0.000103	0.09917447984759628
-0.000106	0.10085540323484367
-0.000105	0.10253632662209107
-0.000106	0.10421725000933846
-0.000106	0.10589817339658586
-0.000109	0.10757909678383325
-0.000112	0.10926002017108064
-0.00011	0.11094094355832804
-0.000109	0.11262186694557542
-0.000104	0.11430279033282283
-0.000108	0.11598371372007021
-0.000112	0.11766463710731762
-0.000111	0.119345560494565
-0.000116	0.1210264838818124
-0.000117	0.12270740726905979
-0.000109	0.1243883306563072
-0.00011	0.1260692540435546
-0.000114	0.12775017743080197
-0.000111	0.12943110081804937
-0.000111	0.13111202420529677
-0.000115	0.13279294759254417
-0.000115	0.13447387097979155
-0.000116	0.13615479436703895
-0.000118	0.13783571775428635
-0.000115	0.13951664114153375
-0.000116	0.14119756452878113
-0.000118	0.14287848791602853
-0.000118	0.14455941130327593
-0.000116	0.14624033469052333
-0.000117	0.1479212580777707
-0.000115	0.1496021814650181
-0.000113	0.1512831048522655
-0.000116	0.1529640282395129
-0.000118	0.15464495162676029
-0.000117	0.1563258750140077
-0.000115	0.1580067984012551
-0.000117	0.1596877217885025
-0.000116	0.16136864517574986
-0.000117	0.16304956856299727
-0.000118	0.16473049195024467
-0.000117	0.16641141533749204
-0.000117	0.16809233872473944
-0.000117	0.16977326211198684
-0.000117	0.17145418549923425
-0.000115	0.17313510888648162
-0.000118	0.17481603227372902
-0.000121	0.17649695566097642
-0.000116	0.17817787904822383
-0.000119	0.1798588024354712
-0.000121	0.1815397258227186
-0.000117	0.183220649209966
-0.000117	0.1849015725972134
-0.00012	0.18658249598446078
-0.000122	0.18826341937170818
-0.000124	0.18994434275895558
-0.000121	0.19162526614620298
-0.000118	0.19330618953345036
-0.000116	0.19498711292069776
-0.00012	0.19666803630794516
-0.000125	0.19834895969519256
-0.000125	0.20002988308243994
-0.000125	0.20171080646968734
-0.000127	0.20339172985693474
-0.000125	0.20507265324418214
-0.000121	0.20675357663142951
-0.000122	0.20843450001867692
-0.000122	0.21011542340592432
-0.000121	0.21179634679317172
-0.000119	0.2134772701804191
-0.000119	0.2151581935676665
