m/z 198	m/z 192	m/z 184	m/z 178	m/z 170	m/z 156	m/z 142	m/z 205	m/z 259	m/z 253	m/z 231	m/z 218	m/z 217	m/z 191	m/z 177	m/z 219	m/z 206	Retention time (min)
120.922562	389.619354	154.253677	495.592468	6905.004395	2555.363525	3847.192139	333.90094	218.966339	296.072693	196.202225	190.230637	319.762451	821.408447	286.849091	230.065781	424.457703	9.0
175.756302	348.350708	1391.608887	473.844116	12130.404297	1915.937012	9279.479492	276.830933	254.173294	205.089981	199.192108	154.88443	183.734802	603.654419	362.956085	188.272873	432.80481	9.02379975379565
158.980164	463.285309	247.669266	363.087158	23571.835938	8078.777344	5342.054688	278.174316	179.196716	327.56073	239.322159	148.495071	204.737747	620.414185	350.414948	280.476135	595.585815	9.0475995075913
227.878662	612.026123	260.153076	501.056183	20295.994141	11195.142578	32821.058594	512.0	347.490601	434.893646	339.282745	251.248947	297.121216	826.822998	518.921814	346.761566	630.800964	9.07139926138695
113.763214	439.325226	212.978363	531.520264	33126.6875	6870.875488	4488.813965	342.714966	317.485229	339.585815	167.958023	256.360413	282.188141	891.756836	428.774597	291.256104	574.222473	9.095199015182601
271.023163	762.536316	3733.999268	729.647522	58683.667969	23895.574219	32014.980469	671.225891	333.425842	506.65097	445.116608	282.483032	487.786011	1025.703857	559.608887	407.247406	818.844482	9.118998768978251
279.009857	1016.693176	664.787415	816.526306	56090.964844	22923.970703	15194.401367	628.777649	344.631775	499.155762	408.852936	346.556763	505.643402	1268.728516	726.641235	549.156555	1378.404175	9.142798522773901
361.498016	1106.840454	792.508911	1022.746704	233256.328125	37164.734375	51934.386719	652.303589	363.390259	807.630371	506.405212	484.04248	318.484589	1643.865356	755.679993	696.406494	1569.437622	9.166598276569554
335.006775	958.615662	622.216309	1093.013184	243620.6875	79444.695313	71503.078125	823.767578	497.296295	768.417786	561.689514	562.516846	581.283508	1767.458374	864.241638	606.562378	1449.891235	9.190398030365204
445.93576	984.071655	727.550476	976.57135	53968.304688	27320.390625	44727.953125	884.335327	516.955872	568.717773	415.741974	389.906067	523.730164	1843.286865	908.516602	578.391907	1391.166504	9.214197784160854
305.050568	968.47406	328.576477	999.171631	86081.210938	34811.871094	56319.878906	637.952148	426.415466	426.554718	588.336365	402.037628	548.959961	1656.373779	966.659668	460.377319	1019.830566	9.237997537956504
424.62973	708.202209	368.616394	1150.738525	78473.492188	35623.101563	29563.601563	871.605774	372.99884	619.701538	450.629456	413.055176	598.968872	1953.781616	804.04248	508.682465	1269.682861	9.261797291752154
283.130157	974.259338	1215.098877	917.060303	340522.625	56384.007813	306545.5	891.355408	356.632294	671.438904	421.72995	430.191742	337.922943	1692.047607	961.60553	546.715454	1157.750366	9.285597045547805
346.376556	951.112244	1175.091797	949.506714	47079.082031	11879.908203	31452.080078	668.686523	339.585815	574.648376	457.608612	390.250092	447.778839	1641.547119	767.320129	529.005493	944.690125	9.309396799343455
294.090363	834.326355	1030.356567	1651.77832	64932.125	15221.318359	123592.507813	720.849854	265.477539	482.158447	401.308594	356.558563	591.166504	1576.02356	806.999634	525.040833	1467.313965	9.333196553139105
376.021515	870.827576	682.530151	1372.965088	28556.830078	5435.70752	27737.263672	568.422913	340.38858	556.717285	414.079102	426.980682	363.873535	1525.023438	1029.11145	501.727875	1197.552856	9.356996306934755
218.032516	813.290649	1939.905273	2906.032471	23650.691406	6211.628906	28686.154297	653.319336	267.959564	362.53833	438.587982	357.533356	405.69104	1563.414795	839.298584	359.802368	954.645325	9.380796060730406
339.421997	837.430969	3376.460693	1127.425537	31538.558594	7523.296875	43406.972656	707.301147	321.540009	430.191742	247.013947	318.058624	380.395752	1545.46936	935.818787	501.088959	1188.574951	9.404595814526056
