m/z 198	m/z 192	m/z 184	m/z 178	m/z 170	m/z 156	m/z 142	m/z 205	m/z 259	m/z 253	m/z 231	m/z 218	m/z 217	m/z 191	m/z 177	m/z 219	m/z 206	Retention time (min)
286.521454	918.346375	58358.171875	3667.446533	64615.933594	17384.65625	119474.539063	891.232544	299.488556	584.93689	459.435303	374.080109	464.358368	2061.368408	1002.612061	445.485229	1176.795654	9.69019286007386
377.14682	761.184692	32346.023438	1775.633423	22437.648438	19115.087891	50143.355469	507.617554	384.475098	406.362732	469.641876	277.568146	359.507477	1697.822632	884.761292	507.502869	1093.11145	9.713992613869511
412.113159	837.897888	25345.798828	3851.001221	10736.927734	13062.117188	47277.605469	572.084473	323.047241	436.0896	458.288483	283.310394	390.979126	1632.462769	953.651611	388.685516	1370.27002	9.737792367665161
387.645203	1079.194214	9786.224609	7408.534668	11138.760742	7593.465332	32870.296875	696.766907	274.340729	396.303589	366.158966	346.687836	448.655304	1766.975098	1184.823242	448.286713	1071.404053	9.761592121460813
416.520172	1171.184448	5513.436523	11255.341797	8731.692383	8947.998047	12372.364258	669.4729	323.022644	695.915039	272.554962	375.996918	398.802002	1520.244751	1353.293213	559.264832	1044.126465	9.785391875256463
361.358765	1016.078857	12892.678711	40633.429688	12272.125	14386.148438	32387.308594	700.928223	334.122101	476.0896	387.604248	308.630219	431.182892	1524.794067	1558.346313	517.619324	1317.279419	9.809191629052114
456.674774	1025.114014	16607.152344	14289.78418	8411.310547	25085.804688	160238.703125	753.861511	287.561768	521.338257	405.445282	345.89325	476.424408	1805.50061	4001.6875	524.098816	1215.083618	9.832991382847764
355.084076	1218.89978	13625.443359	6388.261719	11760.419922	23641.648438	48775.863281	668.03125	382.640228	428.37323	465.759125	544.8396	447.189056	1713.787842	1532.059937	437.048004	1058.265991	9.856791136643414
338.037628	3655.667236	19429.345703	16969.658203	10492.378906	11510.703125	36178.347656	641.474487	365.765778	502.489685	385.761169	406.182526	421.009094	1714.975586	39251.519531	588.83606	1216.38501	9.880590890439064
542.873657	1088.548828	20696.574219	4581.647949	6802.013184	18429.435547	46583.347656	580.529907	357.279419	414.16922	308.245239	273.447845	498.123627	1782.820435	60364.859375	437.891724	1231.432739	9.904390644234715
1207.308838	964.636353	30160.046875	3528.625732	6305.740723	31771.132813	41199.570313	717.581482	308.916931	372.974274	461.507751	404.216553	451.825409	1563.760864	7775.127441	487.40918	1100.557495	9.928190398030365
1646.453857	944.501709	30292.208984	7453.79248	8142.834961	46186.914063	34247.855469	661.437073	321.712006	355.89505	357.672607	377.12735	379.789581	1395.442505	2921.373047	448.425964	1220.636353	9.951990151826015
676.714172	961.712036	31511.615234	8275.610352	11769.222656	30107.162109	40942.429688	600.304138	323.661591	442.929474	406.215271	271.842316	436.638428	1412.841187	1681.914795	358.368866	1162.886475	9.975789905621665
421.189301	1028.554443	31537.449219	3548.406982	18894.179688	14777.163086	48411.050781	635.887878	275.09433	414.695007	427.439392	260.341492	578.236267	1748.355835	1651.368774	385.818512	1397.318359	9.999589659417316
862.226563	2706.177002	34633.753906	9355.009766	17645.304688	32249.347656	36676.105469	612.837036	264.723907	468.355804	372.425446	379.248932	449.736603	1748.445923	1800.814087	580.022034	1155.102539	10.023389413212968
2521.85083	1214.369873	70013.296875	13629.321289	21187.875	24666.451172	58022.730469	679.302673	375.300659	431.395874	420.779724	269.434021	483.723022	1730.473877	2471.40918	499.188538	1088.524292	10.047189167008618
