Response (V)	Retention time (min)
4.5e-05	0.20002988308243994
4.7e-05	0.20171080646968734
4.8e-05	0.20339172985693474
5.3e-05	0.20507265324418214
5e-05	0.20675357663142951
5.1e-05	0.20843450001867692
5e-05	0.21011542340592432
5.2e-05	0.21179634679317172
5.4e-05	0.2134772701804191
5.2e-05	0.2151581935676665
5.3e-05	0.2168391169549139
5.1e-05	0.21852004034216127
5.1e-05	0.22020096372940867
5.1e-05	0.22188188711665607
4.8e-05	0.22356281050390348
5e-05	0.22524373389115085
5.5e-05	0.22692465727839825
5.2e-05	0.22860558066564565
5.1e-05	0.23028650405289305
5.5e-05	0.23196742744014043
5.9e-05	0.23364835082738783
5.4e-05	0.23532927421463523
5.1e-05	0.23701019760188263
5.2e-05	0.23869112098913
4.9e-05	0.2403720443763774
5.3e-05	0.2420529677636248
5.1e-05	0.2437338911508722
5.2e-05	0.24541481453811959
5.1e-05	0.247095737925367
5.4e-05	0.2487766613126144
5.2e-05	0.2504575846998618
5e-05	0.2521385080871092
5.5e-05	0.2538194314743566
5.4e-05	0.25550035486160394
5.3e-05	0.25718127824885134
5.8e-05	0.25886220163609874
5.6e-05	0.26054312502334614
5.9e-05	0.26222404841059355
6.1e-05	0.26390497179784095
5.8e-05	0.26558589518508835
6e-05	0.26726681857233575
5.9e-05	0.2689477419595831
6e-05	0.2706286653468305
6.3e-05	0.2723095887340779
6.3e-05	0.2739905121213253
6.6e-05	0.2756714355085727
6.5e-05	0.2773523588958201
6.4e-05	0.2790332822830675
6.7e-05	0.28071420567031485
6.9e-05	0.28239512905756226
7.1e-05	0.28407605244480966
6.9e-05	0.28575697583205706
6.6e-05	0.28743789921930446
6.6e-05	0.28911882260655186
6.2e-05	0.29079974599379926
6.4e-05	0.29248066938104667
6.6e-05	0.294161592768294
6.7e-05	0.2958425161555414
6.6e-05	0.2975234395427888
6e-05	0.2992043629300362
6.1e-05	0.3008852863172836
6.1e-05	0.302566209704531
6.3e-05	0.3042471330917784
5.9e-05	0.3059280564790258
6e-05	0.30760897986627317
5.7e-05	0.30928990325352057
5.9e-05	0.31097082664076797
6.3e-05	0.3126517500280154
6.2e-05	0.3143326734152628
6.4e-05	0.3160135968025102
6.4e-05	0.3176945201897576
6.3e-05	0.319375443577005
6.1e-05	0.3210563669642523
6e-05	0.32273729035149973
6.4e-05	0.32441821373874713
6.3e-05	0.32609913712599453
6.2e-05	0.32778006051324193
7e-05	0.32946098390048933
7.2e-05	0.33114190728773674
7.1e-05	0.3328228306749841
7.2e-05	0.3345037540622315
7.3e-05	0.3361846774494789
7.3e-05	0.3378656008367263
7.5e-05	0.3395465242239737
7.3e-05	0.3412274476112211
6.9e-05	0.3429083709984685
6.7e-05	0.3445892943857159
6.5e-05	0.34627021777296324
7e-05	0.34795114116021064
7e-05	0.34963206454745804
6.6e-05	0.35131298793470545
6.7e-05	0.35299391132195285
6.8e-05	0.35467483470920025
6.3e-05	0.35635575809644765
6.2e-05	0.35803668148369505
6.3e-05	0.3597176048709424
6.3e-05	0.3613985282581898
6.4e-05	0.3630794516454372
6.6e-05	0.3647603750326846
6.6e-05	0.366441298419932
6.3e-05	0.3681222218071794
6.3e-05	0.3698031451944268
6.9e-05	0.3714840685816742
6.9e-05	0.37316499196892156
6.7e-05	0.37484591535616896
6.8e-05	0.37652683874341636
7e-05	0.37820776213066376
6.8e-05	0.37988868551791116
7.4e-05	0.38156960890515856
7.4e-05	0.38325053229240597
7.7e-05	0.3849314556796533
7.9e-05	0.3866123790669007
8.2e-05	0.3882933024541481
8.3e-05	0.3899742258413955
7.9e-05	0.3916551492286429
8.1e-05	0.3933360726158903
7.9e-05	0.3950169960031377
8e-05	0.3966979193903851
8.1e-05	0.39837884277763247
7.8e-05	0.40005976616487987
7.7e-05	0.4017406895521273
7.7e-05	0.4034216129393747
7.5e-05	0.4051025363266221
7.3e-05	0.4067834597138695
7.5e-05	0.4084643831011169
7.5e-05	0.4101453064883643
7.5e-05	0.4118262298756116
7.9e-05	0.41350715326285903
7.7e-05	0.41518807665010643
7.4e-05	0.41686900003735383
7.5e-05	0.41854992342460123
7.3e-05	0.42023084681184864
7.4e-05	0.42191177019909604
7.9e-05	0.42359269358634344
7.9e-05	0.4252736169735908
7.9e-05	0.4269545403608382
7.5e-05	0.4286354637480856
7.5e-05	0.430316387135333
7.8e-05	0.4319973105225804
7.8e-05	0.4336782339098278
7.5e-05	0.4353591572970752
7.7e-05	0.43704008068432254
7.9e-05	0.43872100407156994
8e-05	0.44040192745881734
8.2e-05	0.44208285084606475
8.3e-05	0.44376377423331215
8.4e-05	0.44544469762055955
7.8e-05	0.44712562100780695
8.1e-05	0.44880654439505435
8.4e-05	0.4504874677823017
8.5e-05	0.4521683911695491
8.2e-05	0.4538493145567965
8.4e-05	0.4555302379440439
8.7e-05	0.4572111613312913
8.7e-05	0.4588920847185387
8.8e-05	0.4605730081057861
8.8e-05	0.4622539314930335
8.6e-05	0.46393485488028086
9.1e-05	0.46561577826752826
9.2e-05	0.46729670165477566
8.7e-05	0.46897762504202306
9.1e-05	0.47065854842927046
9.5e-05	0.47233947181651786
9.1e-05	0.47402039520376527
9e-05	0.47570131859101267
8.8e-05	0.47738224197826
8.5e-05	0.4790631653655074
8.3e-05	0.4807440887527548
8.5e-05	0.4824250121400022
8.4e-05	0.4841059355272496
8.4e-05	0.485786858914497
8.1e-05	0.4874677823017444
8e-05	0.48914870568899177
8e-05	0.49082962907623917
8e-05	0.4925105524634866
8.5e-05	0.494191475850734
8.4e-05	0.4958723992379814
8.5e-05	0.4975533226252288
8.4e-05	0.4992342460124762
8.5e-05	0.5009151693997236
8.7e-05	0.5025960927869709
8.5e-05	0.5042770161742184
9e-05	0.5059579395614657
9.1e-05	0.5076388629487132
9.2e-05	0.5093197863359605
8.9e-05	0.5110007097232079
9.2e-05	0.5126816331104553
9.3e-05	0.5143625564977027
9.7e-05	0.5160434798849501
9.5e-05	0.5177244032721975
9.1e-05	0.5194053266594449
9.2e-05	0.5210862500466923
8.8e-05	0.5227671734339396
8.9e-05	0.5244480968211871
9.2e-05	0.5261290202084344
9.5e-05	0.5278099435956819
9.3e-05	0.5294908669829292
9e-05	0.5311717903701767
8.7e-05	0.532852713757424
9.1e-05	0.5345336371446715
8.8e-05	0.5362145605319188
8.8e-05	0.5378954839191662
8.3e-05	0.5395764073064137
8.4e-05	0.541257330693661
8.4e-05	0.5429382540809085
8.3e-05	0.5446191774681558
8.8e-05	0.5463001008554033
8.9e-05	0.5479810242426506
8.8e-05	0.549661947629898
8.7e-05	0.5513428710171454
8.6e-05	0.5530237944043928
8.6e-05	0.5547047177916402
8.9e-05	0.5563856411788876
8.9e-05	0.558066564566135
8.5e-05	0.5597474879533824
8.8e-05	0.5614284113406297
8.4e-05	0.5631093347278772
8.8e-05	0.5647902581151245
8.7e-05	0.566471181502372
8.9e-05	0.5681521048896193
9.3e-05	0.5698330282768668
9.4e-05	0.5715139516641141
8.9e-05	0.5731948750513616
9.4e-05	0.5748757984386089
9.3e-05	0.5765567218258563
9.3e-05	0.5782376452131037
9.9e-05	0.5799185686003511
1e-04	0.5815994919875985
9.9e-05	0.5832804153748459
9.6e-05	0.5849613387620933
9.8e-05	0.5866422621493407
9.9e-05	0.588323185536588
1e-04	0.5900041089238355
9.9e-05	0.5916850323110828
0.000103	0.5933659556983303
0.000105	0.5950468790855776
0.000102	0.5967278024728251
9.8e-05	0.5984087258600724
0.000101	0.6000896492473198
0.000103	0.6017705726345672
0.000101	0.6034514960218146
0.000103	0.605132419409062
0.000104	0.6068133427963094
0.000104	0.6084942661835568
0.000102	0.6101751895708042
0.000101	0.6118561129580516
0.000106	0.613537036345299
0.000108	0.6152179597325463
0.000111	0.6168988831197938
0.000117	0.6185798065070411
0.000113	0.6202607298942886
0.000112	0.6219416532815359
0.000114	0.6236225766687834
0.000115	0.6253035000560307
0.000119	0.6269844234432781
0.000116	0.6286653468305256
0.000122	0.6303462702177729
0.00012	0.6320271936050204
0.000121	0.6337081169922677
0.000122	0.6353890403795152
0.000126	0.6370699637667625
0.000126	0.63875088715401
0.000128	0.6404318105412573
0.000127	0.6421127339285047
0.000122	0.6437936573157521
0.000126	0.6454745807029995
0.000129	0.6471555040902469
0.000125	0.6488364274774943
0.000124	0.6505173508647417
0.000122	0.6521982742519891
0.000122	0.6538791976392364
0.000122	0.6555601210264839
0.000124	0.6572410444137312
0.000127	0.6589219678009787
0.000125	0.660602891188226
0.000123	0.6622838145754735
0.000126	0.6639647379627208
0.00013	0.6656456613499682
0.000125	0.6673265847372156
0.000128	0.669007508124463
0.00013	0.6706884315117104
0.000128	0.6723693548989578
0.000127	0.6740502782862052
0.000126	0.6757312016734526
0.000126	0.6774121250607
0.000128	0.6790930484479474
0.000129	0.6807739718351947
0.000129	0.6824548952224422
0.000125	0.6841358186096895
0.000129	0.685816741996937
0.00013	0.6874976653841843
0.000128	0.6891785887714318
0.000126	0.6908595121586791
0.000128	0.6925404355459265
0.00013	0.6942213589331739
0.00013	0.6959022823204213
0.000131	0.6975832057076687
0.000134	0.6992641290949161
0.000129	0.7009450524821635
0.000126	0.7026259758694109
0.000126	0.7043068992566582
0.000128	0.7059878226439057
0.000131	0.707668746031153
0.000133	0.7093496694184005
0.00013	0.7110305928056478
0.000124	0.7127115161928953
0.000127	0.7143924395801426
0.000123	0.7160733629673901
0.000121	0.7177542863546374
0.000116	0.7194352097418848
0.000121	0.7211161331291323
0.000127	0.7227970565163796
0.000125	0.7244779799036271
0.000127	0.7261589032908744
0.000132	0.7278398266781219
0.00013	0.7295207500653692
0.000123	0.7312016734526166
0.000123	0.732882596839864
0.000128	0.7345635202271114
0.000124	0.7362444436143588
0.000119	0.7379253670016062
0.000121	0.7396062903888536
0.000121	0.741287213776101
0.000122	0.7429681371633484
0.000122	0.7446490605505958
0.000124	0.7463299839378431
0.000124	0.7480109073250906
0.000128	0.7496918307123379
0.000132	0.7513727540995854
0.000132	0.7530536774868327
0.000132	0.7547346008740802
0.000132	0.7564155242613275
0.000129	0.7580964476485749
0.000129	0.7597773710358223
0.000126	0.7614582944230697
0.000125	0.7631392178103171
0.000127	0.7648201411975645
0.00013	0.7665010645848119
0.000134	0.7681819879720593
0.000135	0.7698629113593066
0.000141	0.7715438347465541
0.000131	0.7732247581338014
0.000128	0.7749056815210489
0.000126	0.7765866049082962
0.000128	0.7782675282955437
0.000132	0.779948451682791
0.000132	0.7816293750700385
0.000136	0.7833102984572858
0.000138	0.7849912218445332
0.000137	0.7866721452317806
0.000137	0.788353068619028
0.000139	0.7900339920062754
0.000148	0.7917149153935228
0.000139	0.7933958387807702
0.000143	0.7950767621680176
0.000149	0.7967576855552649
0.000148	0.7984386089425124
0.000155	0.8001195323297597
0.000155	0.8018004557170072
0.000154	0.8034813791042545
0.000155	0.805162302491502
0.000153	0.8068432258787493
0.000151	0.8085241492659967
0.000157	0.8102050726532442
0.000153	0.8118859960404915
0.000157	0.813566919427739
0.000159	0.8152478428149863
0.000158	0.8169287662022338
0.000164	0.8186096895894811
0.000157	0.8202906129767286
0.000156	0.8219715363639759
0.000159	0.8236524597512233
0.000159	0.8253333831384707
0.000163	0.8270143065257181
0.000164	0.8286952299129655
0.000166	0.8303761533002129
0.000167	0.8320570766874603
0.000163	0.8337380000747077
0.000162	0.835418923461955
0.000165	0.8370998468492025
0.000165	0.8387807702364498
0.000165	0.8404616936236973
0.000169	0.8421426170109446
0.000168	0.8438235403981921
0.00017	0.8455044637854394
0.000168	0.8471853871726869
0.000168	0.8488663105599342
0.000172	0.8505472339471816
0.00017	0.852228157334429
0.000166	0.8539090807216764
0.000166	0.8555900041089238
0.000177	0.8572709274961712
0.000177	0.8589518508834186
0.000169	0.860632774270666
0.000172	0.8623136976579133
0.000173	0.8639946210451608
0.000174	0.8656755444324081
0.000171	0.8673564678196556
0.000171	0.8690373912069029
0.000175	0.8707183145941504
0.000169	0.8723992379813977
0.000167	0.8740801613686451
0.000168	0.8757610847558925
0.000172	0.8774420081431399
0.000171	0.8791229315303873
